w,l,wl,srs_adj,sos_adj,pts_for,pts_vs,pts_total,ap_pre_adj,ap_high_adj,ap_final_adj,pts_diff_adj,ncaa_adj
27,7,0.794,54.71,22.97,70.4,60,130.4,0.933,0.933,0.933,37.1,0.625
28,5,0.848,55.36,23.67,74.2,63.8,138,0.867,0.967,0.933,37.1,0.625
31,7,0.816,53.98,23.03,75.5,64.9,140.4,0.533,0.9,0.8,37.3,0.625
29,8,0.784,56.04,23.76,70.2,59.4,129.6,0.9,0.933,0.8,37.5,0.625
29,8,0.784,57.89,25.56,71,60.1,131.1,0.833,0.933,0.9,37.6,0.625
26,11,0.703,54.1,21.77,75.9,65,140.9,0.767,0.8,0.2,37.6,0.625
27,9,0.75,54.85,22.44,72.5,61.5,134,0.833,0.833,0.6,37.7,0.625
28,6,0.824,55.01,22.54,73.6,62.6,136.2,0.733,0.933,0.8,37.7,0.625
30,6,0.833,53.92,21.32,78.7,67.5,146.2,0.633,0.967,0.8,37.9,0.625
28,8,0.778,53.82,22.47,77,65.6,142.6,0,0.4,0.4,38.1,0.625
30,7,0.811,53.02,19.91,75.1,63.4,138.5,0,0.767,0.633,38.4,0.625
30,6,0.833,57.28,23.98,77.2,65.3,142.5,0.767,1,0.833,38.6,0.625
30,6,0.833,49.52,16.54,75.9,64,139.9,0,0,0,38.6,0.625
27,8,0.771,59.17,25.82,77.9,65.9,143.8,0.767,0.933,0.9,38.7,0.625
32,6,0.842,55.08,21.46,78,65.8,143.8,0,0.767,0.767,38.9,0.625
31,6,0.838,56.72,22.85,74.3,61.8,136.1,0.933,1,1,39.2,0.625
28,9,0.757,58.48,24.37,75.4,62.7,138.1,0.9,0.933,0.767,39.4,0.625
29,4,0.879,53.41,19.88,74.4,61.7,136.1,0.833,0.967,0.967,39.4,0.625
